event_id,n_picks,depth_km,azimuthal_gap_deg,min_local_rms_s,candidate_nodes,accepted_nodes_delta_0p20s,accepted_nodes_delta_0p10s,horizontal_uncertainty_0p20_km,depth_uncertainty_0p20_km,origin_time_uncertainty_0p20_s,horizontal_uncertainty_0p10_km,depth_uncertainty_0p10_km,origin_time_uncertainty_0p10_s
SGC2024femwyf,5,150.0,227.675,0.15325000081679574,125,23,10,28.284271921811484,40.0,1.3847318246593028,14.142135623730951,40.0,1.4243576548097945
SGC2022reqafp,8,150.0,103.18799999999999,0.18420888931053647,125,8,3,9.999999046325684,30.0,1.1457113557453944,0.0,20.0,0.827353566333038
SGC2025vfnpzv,6,130.0,212.43,0.19695194780522954,100,18,8,22.360679774997898,30.0,1.2214740606944148,22.360679774997898,30.0,0.8842764215419312
SGC2023jffupy,4,150.0,178.359,0.125952737114927,125,11,4,22.360679774997898,40.0,1.505630746855987,14.142135623730951,20.0,0.8555750457846106
SGC2025ywqwtf,8,130.0,212.43,0.21629434515734297,100,19,5,14.142135623730951,40.0,1.3300416186090376,14.142135623730951,20.0,0.8342017632587968
SGC2023euqzzb,4,130.0,206.344,0.03780805500368466,125,11,1,22.360680627990142,40.0,0.9012487368077422,10.0,0.0,0.0
SGC2026erisor,5,120.0,126.30099999999999,0.13924076989358886,125,8,3,14.14213494938139,40.0,1.258547508813299,0.0,20.0,0.8798676516787617
SGC2025ycuobb,7,120.0,212.43,0.19632897453724857,100,9,5,10.0,30.0,1.022193188932237,10.0,20.0,0.837551400380495
SGC2022ivxqti,7,130.0,277.411,0.39545117831912696,100,40,16,22.360683186966924,40.0,1.5706431196958068,20.0,40.0,1.5888253266545371
SGC2024ouygma,5,140.0,125.82299999999998,0.16012797051194708,125,8,4,14.142135623730951,30.0,1.0222128570778073,10.0,20.0,0.8943276661701136
SGC2025ctiexz,5,140.0,106.90499999999997,0.04520648883072443,125,6,3,9.999999046325684,40.0,1.3743496854651598,0.0,20.0,0.8416291307664276
SGC2026aaodyk,7,150.0,126.30099999999999,0.07475327088012403,125,5,4,14.14213494938139,30.0,1.0157746232135374,0.0,30.0,1.1161965914128669
SGC2024pxjgkb,7,140.0,156.937,0.1464215952912286,125,10,4,22.360679774997898,30.0,1.0552039881789328,0.0,30.0,1.1245365279481083
SGC2023osfhcx,4,130.0,254.054,0.1483259063297787,125,27,17,22.360679774997898,40.0,1.3334886754251654,22.360679774997898,40.0,1.358378836823814
SGC2025igqzgy,5,130.0,128.454,0.12960116765138516,125,7,5,9.999999046325684,40.0,1.3519464348365713,9.999999046325684,40.0,1.391303780649807
SGC2024shqvfe,8,120.0,228.011,0.25792005935499634,125,20,8,22.360679774997898,40.0,1.0120870285669676,14.142135623730951,40.0,1.1139770544135796
SGC2026bfmznn,8,130.0,168.49699999999996,0.215644486856359,125,9,4,10.0,30.0,1.0891388990912256,0.0,30.0,1.0515755152268034
SGC2024mkfkwp,7,120.0,263.448,0.2811414258157206,75,14,7,20.0,40.0,1.1394455927347698,10.0,40.0,0.971152442346215
