event_id,event_final_rms_s_preferred,event_final_rms_s_1d
SGC2022yuxpbl,0.19939149988428082,0.33092055696370015
SGC2022yvnkiu,0.29013272175735305,0.186121693950961
SGC2022ywfrfk,0.12836155277230862,0.21560402118923527
SGC2022ywoken,0.2437968504593818,0.45823126109934403
SGC2022yydkev,0.06329029979028997,0.18859306465742895
SGC2022yyhbgu,0.13777831507678,0.2486175744723821
SGC2022yyiacp,0.15942851680329226,0.1748582736162246
SGC2022yyzdiz,0.42256735156334896,0.5577916547576564
SGC2022yzdtke,0.0922805932346047,0.21032992439827414
SGC2022yzwpbb,0.20069839045013316,0.1674025386187217
SGC2022zaiput,0.1475118227606381,0.1660659237004454
SGC2022zakhcj,0.15131754835879951,0.1344185053522978
SGC2022zblbhz,0.16287443141745947,0.33021122486135807
SGC2022zbzwbc,0.3294208310905023,0.31804485792465015
SGC2022zcpojj,0.19603500961314346,0.1351196718362314
SGC2022zdhmgz,0.1219066723231682,0.32282734315273387
SGC2022zdjlqx,0.3818438360928359,0.31709493052210214
SGC2022zdncla,0.9178715343247017,0.7905170356133511
SGC2022zdufji,0.25749626815900695,0.2947001513321236
SGC2022zendbv,0.2090692411607284,0.25028575584006596
SGC2022zgaozs,0.13278579413827524,0.1580775924964044
SGC2022zgfiyy,0.6678924891209325,0.7139042091871068
SGC2022zhopbx,0.13283939492734526,0.23099688587402278
SGC2022zhrahc,0.3704604942846683,0.20060629202668884
SGC2022zinpkq,0.13693983243258864,0.12246542363180392
SGC2022zjgkjl,0.11395194759379997,0.30766629431292913
SGC2022zjmjin,0.2769779121408512,0.08771015350768935
SGC2022zkwwgd,0.2768030816734723,0.2226494929821789
SGC2022znnphr,0.0419312545245859,0.09042168708749389
SGC2022zqtxhj,0.10198449436329615,0.2822519825417236
SGC2022zqushg,0.24134401157041335,0.17156689315097004
SGC2022zrfypq,0.10436923073465698,0.1256309195744894
SGC2022zsougb,0.18894167173425114,0.15661050864700096
SGC2022zswjfn,0.20661054755901945,0.17016555474697265
SGC2022zszise,0.07209764803332369,0.19989897360924544
SGC2022ztajnf,0.20271565965075522,0.1958192178033522
SGC2022ztphvc,0.1921280951853676,0.11009902662139029
SGC2023aarchp,0.13387336802284597,0.2107598324400245
SGC2023aarcxm,0.06716704821536768,0.1574048812036954
SGC2023aasjqj,0.2610155771834566,0.3039868602270649
SGC2023abzyhw,0.040277357818979065,0.2906954732892778
