event_id,n_picks,depth_km,selection_group,rms_residual_s,mad_residual_s,p90_abs_residual_s,median_residual_s,azimuthal_gap_deg
SGC2025uycmzs,4,120.0,domain_20_120,0.17055913322005348,0.0794385263852312,0.2486714340263553,-0.0508223178466149,177.226
SGC2024qkgdbo,4,140.0,domain_20_120,0.9272762772469573,0.9044817556179116,1.309582058777591,-0.006803537059566295,152.54500000000002
SGC2025yaqxax,4,20.0,domain_20_120,0.48639968228023456,0.6368986750817909,0.5905749356240956,0.00116547538823486,140.60099999999997
SGC2023sfemcd,4,80.0,domain_20_120,0.30132499929476664,0.1183356593984933,0.4510103789676967,0.060259411860190654,192.608
SGC2026ajvwzf,5,120.0,domain_20_120,0.27170225738992076,0.12952277932607548,0.38785146616236116,-0.0972540368077261,172.12699999999998
SGC2026awhvuh,6,140.0,domain_20_120,0.09032392537071442,0.11655810206072136,0.14258680075018398,0.04946465372731795,115.18199999999996
SGC2024sfxbmu,4,130.0,domain_20_120,0.09406691517056547,0.11400615879337414,0.13320459010884522,0.025875024690630945,142.909
SGC2025uxgyer,4,20.0,domain_20_120,0.4280885208022572,0.4599256589439952,0.5876178886953991,0.1809887108618726,225.968
SGC2023unmbyr,5,30.0,domain_20_120,0.331766873168424,0.2486255657028313,0.47794807265226286,-0.1567176259281701,126.976
SGC2023ddosjo,4,20.0,domain_20_120,0.3322821926011329,0.3301475440962857,0.48409178243182593,0.023355974674524653,257.45799999999997
SGC2024qjhwqb,5,70.0,domain_20_120,0.3243366237874851,0.13074154379254427,0.5048160795751855,-0.0447367543516605,214.433
SGC2024pgvrth,4,110.0,domain_20_120,0.12156857063624939,0.07109899201020167,0.17496420566792886,-0.033617658122024,214.29399999999998
SGC2022xkvwdt,4,70.0,domain_20_120,0.06261764667733977,0.028396029901935224,0.07544924579968938,-0.04744867676947965,197.45
SGC2022vvaspr,4,110.0,domain_20_120,0.2669259898451176,0.3201398214891176,0.3751977426843318,-0.09548109746622746,226.21900000000002
SGC2024myplje,5,80.0,domain_20_120,0.2387137317859762,0.28946690371709355,0.3598499254299454,0.0849153194842564,254.161
SGC2022xohehk,5,20.0,domain_20_120,0.1633263867602687,0.24868920740777414,0.2211589911602061,-0.0807665748430501,309.07599999999996
SGC2024netekv,4,30.0,domain_20_120,0.13003814848045772,0.13609356459061325,0.18651096333159733,-0.012306847017894652,214.85999999999999
SGC2024vbarlt,5,30.0,domain_20_120,0.5403342470032371,0.7141750659232489,0.7784545899871068,0.1046134581207631,138.122
SGC2026czryym,5,120.0,domain_20_120,0.16692659066072146,0.09132813178653475,0.2653840866481591,0.0403083201112366,159.08500000000004
SGC2025pnwfgl,4,40.0,domain_20_120,0.3687897240994947,0.3668543045118639,0.5215772315128687,0.057202025313564754,244.42999999999998
SGC2023rirsqn,5,20.0,domain_20_120,0.1980156076065935,0.18169291680752078,0.30421906333742965,-0.0106089541885161,222.89
SGC2023vnacts,4,100.0,domain_20_120,0.14987386616768147,0.18198568964208872,0.20774149882897586,-0.03746096820110445,171.70199999999997
SGC2022xlfwwf,4,20.0,domain_20_120,0.7164876572253995,0.928668732095,0.9791731744790334,-0.016117473649988057,284.636
SGC2025woncnz,4,130.0,domain_20_120,0.2067691233000698,0.2239133267824121,0.2990825525589035,0.0780812013549816,232.981
SGC2022wkiprb,4,120.0,domain_20_120,0.1581533670572825,0.1744917850071718,0.2267713252231292,-0.06103436068361205,176.695
SGC2025kfipmf,4,90.0,domain_20_120,0.197111272513327,0.2649694944906907,0.23711337439387384,0.01771876065392955,212.43
SGC2023yansbx,4,120.0,domain_20_120,0.16714142567438833,0.2068835794035928,0.21749826140996795,-0.00514793675985635,228.786
SGC2025yufamz,6,100.0,domain_20_120,0.19791683348866643,0.2506556703131369,0.27563366676110057,-0.06523376986852365,215.12
SGC2022wyhzuh,4,90.0,domain_20_120,0.5972735985628099,0.7332474308254698,0.8352176584969649,-0.01257154040630315,249.27100000000004
SGC2022yfztoz,4,110.0,domain_20_120,0.21245879145589328,0.04318725329623954,0.3007003709511814,-0.109985730845791,193.469
SGC2022xjxxaf,4,90.0,domain_20_120,0.21699128283657085,0.15807122371399498,0.277460714472069,-0.12201998616080174,186.92199999999997
SGC2024qgnium,4,100.0,domain_20_120,0.2717007491378862,0.3450764816461753,0.38074831425414146,-0.05356743921151265,252.561
SGC2025pnxksl,4,140.0,domain_20_120,0.3172519911515749,0.04716835982562948,0.4632609548166582,0.052387983744638995,285.073
SGC2022yyhbgu,4,110.0,domain_20_120,0.13777831507678,0.18817373216535213,0.1693233774625685,-0.0214711119035478,224.38600000000002
SGC2025uxqhko,5,110.0,domain_20_120,0.20301355463063975,0.2624900718025175,0.27696282377673065,0.0533942077559359,206.91300000000004
SGC2025yaiwry,5,70.0,domain_20_120,0.32727992734397715,0.49503879439227866,0.4515520032719859,0.0345105840556296,191.61399999999998
SGC2026ejgemx,5,20.0,domain_20_120,0.4603096761837701,0.41311376974185177,0.689869783478235,-0.0561772937768481,173.027
SGC2024swsrao,5,70.0,domain_20_120,1.0715577711302084,0.6049021171448162,1.6694262878852626,-0.1301214537117694,246.094
SGC2024swywon,5,90.0,domain_20_120,0.3931371624325995,0.36441704504271805,0.5889764743465463,-0.0128014305377135,245.32799999999997
SGC2024atbeai,5,30.0,domain_20_120,0.231765972175924,0.04561758949319418,0.3578831546307647,-0.0628084854419563,271.085
SGC2024pqcywf,4,130.0,domain_20_120,0.3345779432944718,0.3994414778060062,0.3929455784010404,0.08261159634887603,156.937
